HORN_DENS,SAPA_DENS,STOS_DENS,MUTI_DENS,MAPY_DENS,EISN_DENSITY,DICO,ZONA,HORN_R,SAPA_R,STOS_R,SAMU_R,MAPY_R
8.8,0,1.6,4,0.016666667,0.016666667,0,1.2,18,0,0,0,0
4.4,0,1.6,0,0.016666667,0.016666667,21.2,4.4,8,0,0,0,0
5.2,0,0,0,0,0,12.4,4.4,14.4,0,0,0,0
0.8,0,0,0,0.216666667,0,23.6,1.2,21.6,0,0,0,0
2.4,0,0,0,0.05,0,14.4,6.8,21.2,0,0,0,0
1.2,0,2.4,0,1.95,0,18.4,4.4,24.4,0,0,0,0
0,0,9.6,0,1.1,0,23.2,0.4,10,0,0,0,0
0.4,0,4.8,0,0.35,0.016666667,10.4,1.6,6.8,0,0,0,0
0,0,6,0,0.516666667,0.033333333,15.6,9.2,7.2,0,0,0,0
4,1.2,0.4,0,0,0,9.6,5.2,0,0,0,0,0
0.8,1.2,0,0,0,0,6,0.8,0,0,0,0,0
1.6,8.8,0,0,0,0,2.4,9.2,0,0,0,0,0
0.8,2.4,0,0,0,0,0.4,4.8,5.2,0,0,0,0
8.8,0,0,0,0,0,16,12,6.8,0,0,0,0
3.2,0.4,0,0,0,0,10.8,2.8,21.2,0,0,0,0
3.6,1.6,0,0,0,0,7.2,6,28.4,0,0,0,0
8,0.8,0,0,0,0,8.8,3.6,21.2,0,0,0,0
4,1.6,0.8,0.4,0,0,6.4,3.6,34.8,0,0,0,0
2,5.2,0.8,0,0,0,12.8,9.6,28.4,0,0,0,0
2.8,0.4,0,0,0,0.016666667,9.6,1.2,28,0,0,0,0
6.4,4,0,0,0,0,0.4,1.2,34.8,0.4,0,0,0
4,10,0,0,0,0,0.8,12.4,0,0,0,0,0
0.8,2,0,0,0,0,6.8,3.6,0,0,0,0,0
2.4,3.2,0,0,0,0,9.2,9.2,0.4,0,0,0,0
0.8,0.4,0,0,0,0,1.2,6,0,1.6,0,0.8,0
0.8,0,2.4,0,3.816666667,0,13.6,3.2,6.8,0,0,0,0
0.8,0,4.4,0,3.233333333,0,11.6,12,17.2,0,0,0,0
0,0.8,3.2,0,2.4,0,3.6,1.6,22.4,0,0,0,0
0.8,1.2,2,0,1.133333333,0,14,11.6,22,0,0,0,0
26,0.4,0,0,0,0,1.6,4.4,13.2,0,0,0,0
16.4,4,0,1.2,0.016666667,0,0,8.4,12.4,0,0,0,0
26.4,3.6,0.8,0,0.05,0,2.4,6,14,0,0,0,0
17.6,0.4,0,0,0,0,2,5.6,26,0,0,0,0
39.6,0,2.4,3.2,0.216666667,0,0,5.6,14.4,0,0,0,0
30,0,0,6,0.083333333,0,0,0,4,0,0,0,0
2.8,5.2,0,9.6,0.116666667,0,0,11.6,4,0,0,0,0
16.8,4,0,0,0.116666667,0,0,6.4,0.4,0,0,0,0
7.6,1.6,1.2,3.2,0,0,3.6,6,11.6,0,0,1.2,0
24.8,0.4,0,2.8,0,0,0,0.8,9.2,0,0,0,0
26.4,3.6,0,4,0,0,0,6.4,14.4,0.4,0,0,0
8,1.2,0,0,0,0,0,4.4,14.8,0.8,0,0,0
29.6,8,3.2,6,0,0,0,3.2,16.4,0,0,0,0
54.8,1.2,11.2,0,0,0,0,0,12.4,0,2.8,0,0
16.8,0,4.4,0,0,0,4.8,2.8,3.6,0.8,1.6,0,0
18.4,0,13.6,0,0,0,0,0,8.8,0,0,0,0
32,2,0,1.6,0.016666667,0,0,8.4,3.2,0,0,0,0
